# TSIR Sample Basic Stats
 x       rate   99conflevel
 0.0833  4.3537 1.9436
 0.2500	 4.3733 1.9675
 0.5000	 4.4152 1.9739
 0.7500	 4.4862 1.9648
 1.0000	 4.5665 1.9308
 2.0000	 4.8798 1.7114
 3.0000	 5.1403 1.5086
 4.0000	 5.3145 1.3214
 5.0000	 5.4765 1.1992
 6.0000	 5.6071 1.1028
 7.0000	 5.7179 1.0257
 8.0000	 5.8085 0.9626
 9.0000	 5.8878 0.9116
10.0000	 5.9492 0.8649





























