# 5yr vanilla cap HW prices ( a = 10 * sigma = .1 ; K = 5./100 ; Tenor = .5; L = 100)
step  EFD CN HWT eEFD eCN eHWT 
0.50 3.11 3.16 41.1 0.017044343474   0.000624974122   12.0
0.25 3.14 3.16 8.34 0.006321229666   0.000294392102   1.638239691310
0.10 3.16 3.16 3.20 0.001624663358   0.000053270873   0.011270640531
0.05 3.16 3.16 3.17 0.002181739123   0.000007384055   0.001305489908
0.025 3.16 3.16 3.17 0.000042427263  0.000000947119   0.001758383191
0.02 3.16 3.16 3.17 0.000056709166   0.000003360706   0.001313700836
0.01 3.16 3.16 3.16 0.000203963135   0.000000711290   0.000479979788
