# vanilla European 2yr Put on 5yr Bond HW prices ( a = 10 * sigma = .1 ; K = .78 )
step  EFD CN HWT eEFD eCN eHWT tEFD tCN tHWT
0.500 0.440108508662693 1.072150654080085 1.336800288549915 0.576727515439710 0.031136327162508 0.285661986437756 0.000670300748174   0.002064046293610 0.001220598804859 
0.400 1.076709867783168 1.692793271637213 2.107017967258432 0.035521131531797 0.628036722375604 1.026415559936773 0.000504011304254   0.001874184892433 0.001509891007555 
0.250 0.753943151626973 1.103856409547736 1.190058248950918 0.274898383637144 0.061629202504619 0.144533454569002 0.000641157237384   0.002536342600827 0.002822634736236 
0.200 0.941914026409936 1.080140480250826 1.315338044730830 0.094118195051118 0.038820508467638 0.265020764814600 0.000741445200985   0.003138070382436 0.002460483756564 
0.100 0.909980004631168 1.044414208092039 1.080496355387345 0.124830604546162 0.004460918314118 0.039162769865140 0.001216312994449   0.012589139499272 0.005168258773804 
0.050 1.004094806288148 1.041977958919602 1.091340236926703 0.034316094721540 0.002117866044216 0.049591826770648 0.002641344955880   0.079792789638282 0.011040676198023 
0.040 0.995705824057566 1.040061611667821 1.064606260055150 0.042384162667921 0.000274827233159 0.023880538327297 0.003402504884752   0.406278969399742 0.014054029497519 
0.025 1.025751563837374 1.040325970823087 1.069277753569833 0.013487800346514 0.000529073525297 0.028373327327390 0.005844988237593   1.246251951650916 0.028390065320036 
0.020 1.028931901626183 1.040183006132433 1.063874163752496 0.010429124017577 0.000391577842695 0.023176447824927 0.010806670949620   2.558003515221698 0.036538248072135 
0.010 1.035078006291587 1.039865123137617 1.052444620476323 0.004518134021047 0.000085855225734 0.012184133237338 0.022302071632178  19.117288916337124 0.106256383178880 










  
				        
				        
				        
				        
				        
				        
				        
   				        
				           
				        
				        
				        
				        
				        
				        
				        
				        
