# MOO tseries comparison 
# col 0 dates | col 1,2 MC | col 3,4 ANS | col 5,6 NS
t capMC  bondMC  capANS  bondANS capNS  bondNS
 92  4.1246 0.4157  6.9638 0.0549  7.5446 0.0390 
 93  4.3789 0.4191  7.2680 0.0511  7.9149 0.0367 
 94  4.0887 0.4450  7.1627 0.0617  7.9380 0.0483 
 95  4.0678 0.4547  7.0873 0.0711  8.0782 0.0460 
 96  4.2252 0.4424  7.2960 0.0561  7.8061 0.0466 
 97  4.6405 0.5363  8.0388 0.0521  8.6311 0.0463 
 98  4.7394 0.5025  8.5385 0.0613  9.2397 0.0513 
 99  4.6844 0.5077  8.3173 0.0568  8.8912 0.0550 
100  4.7895 0.5010  8.6545 0.0602  9.3072 0.0509 
101  4.5560 0.5131  8.6259 0.0600  9.2464 0.0539 
102  4.6004 0.5056  8.6416 0.0572  9.3624 0.0484 
103  4.8654 0.5233  9.2688 0.0592 10.0039 0.0480 
104  4.5019 0.4604  9.1264 0.0546  9.7738 0.0455 
105  4.6215 0.4509  9.1529 0.0479  9.5362 0.0450 
106  4.4390 0.4597  9.1565 0.0477  9.5908 0.0436 
107  4.0230 0.5041  8.3368 0.0512  8.8348 0.0483 
108  3.9688 0.5080  8.5661 0.0592  9.2050 0.0529 
109  3.4725 0.4977  8.0651 0.0543  8.7614 0.0455 
110  3.5408 0.5071  8.1691 0.0582  8.9044 0.0498 
111  3.3966 0.5589  7.7557 0.0628  8.6007 0.0532 
112  3.5599 0.4993  7.9844 0.0687  8.8686 0.0550 
113  3.7296 0.5044  8.0459 0.0696  8.9518 0.0587 
114  3.9203 0.4948  7.9666 0.0702  9.0007 0.0510 
115  3.4698 0.5625  7.8417 0.0784  8.9696 0.0605 
116  3.5938 0.5723  8.0861 0.0821  9.3791 0.0567 
117  3.3859 0.5764  7.9567 0.0829  9.1341 0.0652 
118  3.8438 0.5152  8.4393 0.0816  9.6044 0.0579 
119  4.0310 0.5176  8.7388 0.0803  8.6696 0.0814 
120  4.3488 0.5197  8.8637 0.0750  8.7607 0.0784 
121  4.3766 0.5090  8.6048 0.0715  9.5680 0.0515 
122  3.7916 0.5134  8.4588 0.0650  9.4413 0.0483 
123  4.1862 0.5112  8.8237 0.0734  8.7355 0.0753 
124  4.1402 0.5159  8.9440 0.0775  8.7389 0.0819 
125  4.4461 0.5156  9.1496 0.0762  8.8587 0.0825 
126  4.5649 0.5062  9.0178 0.0794  8.9026 0.0827 
127  4.6742 0.4464  9.2392 0.0726  9.1554 0.0731 
128  4.2083 0.5051  9.1424 0.0620  9.0357 0.0657 
129  4.2498 0.4588  9.3659 0.0559 10.0789 0.0409 
130  4.1090 0.5201  9.4557 0.0562  9.3407 0.0597 
131  4.4048 0.4598  9.6343 0.0556  9.5560 0.0639 
132  4.7150 0.4778 10.1954 0.0692 10.2068 0.0746 
133  5.1881 0.4824 10.4475 0.0740 10.5208 0.0816 
134  5.2346 0.4766 10.4795 0.0717 10.4488 0.0740 
135  5.2966 0.5053 11.0251 0.0640 11.8558 0.0506 
136  4.5512 0.4400  9.5989 0.0741  9.5906 0.0799 
137  4.5415 0.4493  9.9123 0.0670  9.8861 0.0697 
138  4.0143 0.4385  9.3735 0.0659  9.3448 0.0685 
139  3.2093 0.4759  8.5740 0.0481  9.1366 0.0389 
140  2.9508 0.4531  7.9386 0.0515  8.4900 0.0452 
141  3.6653 0.4625  8.3475 0.0525  8.7905 0.0489 
142  3.5338 0.4645  7.9296 0.0475  8.4045 0.0433 
143  3.0780 0.4857  8.1001 0.0466  8.5086 0.0464 
144  3.1486 0.5738  8.7516 0.0496  9.0912 0.0540 
145  3.0607 0.6421  8.4227 0.0455  8.6914 0.0554 
146  3.1186 0.5763  8.2071 0.0482  8.4806 0.0543 
147  3.2460 0.5508  7.9078 0.0634  8.5248 0.0634 
148  3.1574 0.5031  8.1236 0.0549  8.7095 0.0531 
149  3.3606 0.4982  8.1306 0.0747  7.9781 0.0884 
150  3.5244 0.5301  8.0656 0.0789  7.9979 0.0818 
151  3.2683 0.4817  8.3270 0.0839  8.2753 0.0866 
152  3.8338 0.4656  8.2249 0.0741  8.1243 0.0800 
153  3.1893 0.4940  7.3678 0.0639  8.3218 0.0461 
154  3.9781 0.5038  7.6026 0.0687  7.4120 0.0846 
155  2.1591 0.4469  5.9134 0.0768  5.8743 0.0769 
156  3.2765 0.5455  8.0160 0.0745  9.0000 0.0552 
157  3.0162 0.5356  8.0057 0.0700  7.7751 0.0870 
158  2.8278 0.5236  7.8132 0.0678  7.7591 0.0700 
159  3.2679 0.4782  8.1441 0.0693  8.0688 0.0718 
160  3.9319 0.4978  7.4057 0.0642  7.9311 0.0544 
161  4.0739 0.4821  7.2008 0.0619  7.7294 0.0488 
162  3.3273 0.5157  7.3576 0.0546  8.0833 0.0421 
163  3.4898 0.5049  7.3019 0.0692  7.2354 0.0707 
164  3.4543 0.5154  7.5014 0.0673  7.3666 0.0729 
165  3.4616 0.5155  7.4834 0.0676  7.3558 0.0723 
166  3.4607 0.5141  7.4794 0.0670  7.3553 0.0705 
167  3.6517 0.5932  8.9086 0.0642  8.8315 0.0672 
168  3.2265 0.5700  8.2453 0.0652  8.1760 0.0676 
169  3.0920 0.5668  8.3785 0.0721  8.1931 0.0805 
170  3.1955 0.4691  7.4734 0.0883  7.2806 0.0952 
171  2.6778 0.5270  7.3261 0.0803  7.2023 0.0838 
172  2.4534 0.5164  6.9896 0.0725  6.7724 0.0821 
173  2.7062 0.5305  7.3704 0.0858  7.1319 0.0954 
174  2.6761 0.5316  7.4273 0.0913  7.3103 0.0931 
175  2.6965 0.5389  7.2583 0.0823  7.1102 0.0850 
176  2.6965 0.5367  7.2432 0.0821  7.0771 0.0841 
177  2.5973 0.6338  7.8017 0.0815  7.6264 0.0850 
178  3.6838 0.4845  8.2825 0.0904  8.0851 0.1048 
179  4.0305 0.4756  8.5334 0.0909  8.4389 0.1089 
180  3.4504 0.5922  9.1964 0.0806  9.0551 0.0930 
181  3.1103 0.5928  9.3164 0.0820  9.2257 0.0941 
182  3.0551 0.5976  9.2556 0.0736  9.1260 0.0801 
183  3.6371 0.5652  9.4433 0.0782  9.2610 0.0977 
184  3.4643 0.5640  9.3054 0.0740  9.0767 0.0911 
185  3.1971 0.5588  9.0979 0.0795  9.2274 0.0919 
186  3.3328 0.5244  9.5097 0.0859  9.6452 0.0992 
187  3.2842 0.5351  9.6503 0.0923  9.8192 0.1005 
188  3.2669 0.5565  9.9580 0.0709  9.9932 0.0921 
189  3.4390 0.5341 10.1281 0.0774 10.1399 0.0908 
190  2.8614 0.5559  9.7255 0.0631  9.7084 0.0804 
191  2.8614 0.5559  9.7255 0.0631  9.7084 0.0804 
192  2.8694 0.5973 10.0953 0.0734 10.0108 0.0889 
193  2.8774 0.6298 10.3814 0.0839 10.2982 0.1018 
194  4.0638 0.6053 11.2086 0.0906 11.2310 0.1167 
195  4.0579 0.5871 10.9672 0.0849 11.0426 0.0993 
196  2.9407 0.6265 10.5954 0.0860 10.5732 0.1043 
197  3.7062 0.6245 11.4827 0.0996 11.5289 0.1190 
198  3.9352 0.6041 11.8958 0.0963 11.9352 0.1196 
199  4.1712 0.5817 11.9820 0.0976 12.1104 0.1174 
200  3.2646 0.6528 11.4113 0.0944 11.2645 0.1041 
201  3.9930 0.6052 12.0708 0.1084 12.0667 0.1237 
202  3.9946 0.6157 12.2937 0.0984 12.4519 0.1233 
203  4.2808 0.6047 12.7983 0.0848 12.8797 0.1125 
204  4.0690 0.6464 13.1366 0.0937 12.6706 0.1272 
205  3.9850 0.6339 13.0012 0.0872 13.1174 0.1061 
206  4.1981 0.6511 13.4950 0.0645 14.7550 0.0190 
207  3.5805 0.6607 12.4967 0.0671 12.3285 0.0793 
208  2.8738 0.6917 11.5845 0.0711 11.3936 0.0825 
209  3.1892 0.7299 12.3993 0.0760 12.0935 0.0894 
210  3.5817 0.7292 12.8976 0.0826 12.6177 0.0947 
211  3.5650 0.7143 12.8613 0.0749 12.6085 0.0894 
212  3.5886 0.7030 13.0304 0.0821 12.8067 0.0993 
