# American 3yr Put on 5yr Bond HW prices ( a = 10 * sigma = .1 ; K = .85 ; lowest dimension consistent HW)
step  EFD CN HWT tEFD tCN tHWT
0.50  6.471741337405268E2   7.785867370713939E2   6.475261972328894E2  0.000907306063865   0.002172048715950   0.001531748640648
0.40  6.799931863958908E2   7.785912877265055E2   6.803225231459209E2  0.000698158515841   0.001985187382060   0.001723752947030
0.25  7.164279605837908E2   7.785955933001238E2   7.166870143621074E2  0.000896162956798   0.002663631170013   0.002688488870393
0.20  7.294411633340115E2   7.785953162460867E2   7.296619102439861E2  0.001128882462078   0.004538244643487   0.003273930572443
0.10  7.546052184437180E2   7.785974345357179E2   7.547292102810832E2  0.001976187180198   0.017584251532499   0.006367857107652
0.05  7.667496193533696E2   7.785977672158335E2   7.668150492122960E2  0.004083948739993   0.119574539028947   0.013819595668074
0.04  7.691430685525558E2   7.785978071304875E2   7.691959637851110E2  0.005288261465293   0.447928046386183   0.018679276092335
0.02  7.727109726956705E2   7.785978503686526E2   7.727445498575336E2  0.010310802685146   1.986113545689525   0.034328912805616
0.02  7.738943220382444E2   7.785978603474633E2   7.739213219671837E2  0.013433444150105   3.938487906085894   0.048427514731402
0.01  7.762520723950928E2   7.785978736501999E2   7.762657106806580E2  0.039128591884132  42.770424993817720   0.135892333585196
   
   
   
   

							      
							     
							    							  







																 
							    
   
   
   
   
   
   
   
							    
							    
							    





 
   
   
   

   
   
   
   
   

 
 
 
 
