# Histograms for w_1*l_1 + (1-w_1)*l_2 for the Sample 
# col 1,2 MC | col 3,4 ANS
w_1 countS1 countS2
0.1  7       8  
0.2   6	    10
0.3   5	     1
0.4   6	    10
0.5   3	     5
0.6   0	     7
0.7   6	     4
0.8  10	     5
0.9   9	     5
1.0  13	     7








































