# Sample Volatility Data Descriptive Stats
T flatvolS1 2sigmasS1 flatvolS2 2sigmasS2
1 10.0969   1.5626    19.1419  3.4269   
2 12.4646   0.9681    20.2210  3.0698
3 14.0908   0.9340    20.2952  2.4316
4 14.7892   0.7822    20.1968  2.2117
5 15.1754   0.7790    20.0484  2.0163
7 15.3215   0.7099    19.6887  2.0604
10 14.8954  0.8589    18.7597  1.9279

















   
   
   
   
   
