# % Simulacion: Parametro 'a' Mercurio-Moraleda
t HMC ANS+ NS
   1   3.0847495e-01      3.5000000e-01    3.1912834e-01
   2   3.1100156e-01	  3.5000000e-01	   3.0871189e-01
   3   3.0762566e-01	  3.5000000e-01	   3.0678673e-01
   4   3.0716801e-01	  3.5000000e-01	   3.0731893e-01
   5   3.1122719e-01	  3.5000000e-01	   3.0853417e-01
   6   3.0435326e-01	  3.5000000e-01	   3.1833890e-01
   7   3.0408597e-01	  3.5000000e-01	   3.1788197e-01
   8   3.0797277e-01	  3.5000000e-01	   3.1705987e-01
   9   3.0662002e-01	  3.5000000e-01	   3.0824104e-01
   1   3.0713313e-01	  3.5000000e-01	   3.0734657e-01
   11   3.0857836e-01	  3.5000000e-01	   3.2024620e-01
   12   3.0478579e-01	  3.5000000e-01	   3.2675599e-01
   13   3.1048240e-01	  3.5000000e-01	   3.0900376e-01
   14   2.9877958e-01	  3.5000000e-01	   3.2208564e-01
   15   3.0840677e-01	  3.5000000e-01	   3.1780326e-01
   16   3.0718278e-01	  3.5000000e-01	   3.0724198e-01
   17   3.0266263e-01	  3.5000000e-01	   3.1689970e-01
   18   3.0740619e-01	  3.5000000e-01	   3.0689483e-01
   19   3.0821087e-01	  3.5000000e-01	   3.1219912e-01
   20   3.1246861e-01	  3.5000000e-01	   3.0673439e-01
   21   3.0606568e-01	  3.5000000e-01	   3.0976726e-01
   22   3.1598341e-01	  3.5000000e-01	   3.2889509e-01
   23   3.0369981e-01	  3.5000000e-01	   3.1714334e-01
   24   2.9903636e-01	  3.5000000e-01	   3.2127390e-01
   25   3.1199287e-01	  3.5000000e-01	   3.1882223e-01
   26   3.0266313e-01	  3.5000000e-01	   3.1679370e-01
   27   3.0045692e-01	  3.5000000e-01	   3.2188580e-01
   28   3.1897908e-01	  3.5000000e-01	   3.3222889e-01
   29   3.1792237e-01	  3.5000000e-01	   3.2911771e-01
   30   3.0398522e-01	  3.5000000e-01	   3.1707901e-01
   31   3.1026087e-01	  3.5000000e-01	   3.0910310e-01
   32   3.0314026e-01	  3.5000000e-01	   3.1590605e-01
